"taxon","KCl (500mM)","KCl (1000mM)","KCl (1500mM)","NaCl (250mM)","NaCl (500mM)","NaCl (1000mM)","4°C","16°C","30°C","40°C","Ethanol (5% v/v)","Ethanol 7% v/v","Ethanol 9% v/v","Ethanol 10% v/v","Ethanol 11% v/v","Ethanol 12% v/v","Sulfite (1,5mM)","Sulfite (2,25mM)","Sulfite (3,0mM)","Glucose (46%)","Sorbitol (46%)","Glucose (48%)","Sorbitol (48%)","Glucose (50%)","Sorbitol (50%)","Copper (0.075mM)","Cadmium (0.3mM)","Cadmium (0.4mM)","Cadmium (0.5mM)","Actidione (0,2 mg/L)","Actidione (0,4 mg/L)","Actidione (0,5 mg/L)","Acetic acid (50mM)","Acetic acid (75mM)","Acetic acid (100mM)","Levulinic acid (25mM)","Levulinic acid (50mM)","Levulinic acid (75mM)","Formic acid (25mM)","Formic acid (50mM)","Formic acid (75mM)","Glycerol (20°C)","Melibiose (20°C)","Sorbitol (20°C)","Ethanol (20°C)","Galactose (20°C)","Fructose (20°C)","Sucrose (20°C)","Maltose (20°C)","Maltose (liquid)","Maltotriose (liquid)","Glucose (10°C)","Ethanol (10°C)","Fructose (10°C)","Sucrose (10°C)","Maltose (10°C)","Glucose (39°C)","Ethanol (39°C)","Fructose (39°C)","Sucrose (39°C)","Maltose (39°C)","Lysine","Ethyl propionate","Ethyl butyrate","Ethyl hexanoate","Ethyl octanoate","Ethyl decanoate","Propyl acetate","Isobutyl acetate","Ethyl acetate","Isoamyl acetate","Phenyl ethyl acetate","Phenyl ethanol","Butanol","Isoamyl alcohol","Isobutanol","POF","Acetaldehyde","Flocculation","Ethanol production (%v/v)","Sporulation efficiency","Spore viability"
"BR001",0.009,0.374,0.829,1.352,1.269,0.128,0.462,-0.628,-0.792,0.06,-0.358,-0.302,-0.187,-0.121,-0.497,-0.692,-0.074,-0.717,-0.441,0.902,-0.547,-0.418,-0.558,-0.341,-0.451,0.31,0.408,-0.497,-0.72,0.531,-0.021,0.095,0.903,1.148,1.366,1.134,0.419,1.308,0.948,1.037,1.814,1.433,0.361,1.621,-0.43,0.881,-0.786,-0.697,-0.39,0.093,0.688,0.125,-0.453,0.056,-0.218,0.4,0.298,2.491,0.591,0.944,0.314,0.191,-0.345,-1.293,-0.26,-1.675,-0.205,-0.929,1.182,0.773,0.577,0.817,0.621,0.271,0.558,0.482,1.078,-0.065,-0.584,-0.183,1.018,0.33
"BR002",-3.64,-2.829,-1.51,0.525,0.513,-0.363,-0.466,-0.685,-1.352,0.569,0.491,0.594,0.323,0.736,-0.606,-0.619,-0.106,-0.717,-0.441,0.231,0.306,0.03,-0.117,-0.341,-0.211,-0.729,-0.195,-0.299,-0.6,-0.372,-0.382,-0.341,0.234,0.933,0.791,0.335,0.277,1.132,0.819,0.749,2.13,1.606,-0.713,1.618,-0.199,0.911,-0.94,-0.804,-0.32,0.239,0.849,0.294,0.321,-0.223,-0.484,-0.138,-0.406,-0.357,-0.336,-0.294,0.408,0.191,0.41,-1.293,-0.372,-1.699,-0.301,0.83,2.01,1.072,1.163,0.769,0.071,-0.061,0.561,0.508,1.078,-0.232,-0.584,-0.307,0.271,0.822
"BR003",-3.64,-2.829,-1.51,1.304,0.589,0.128,-0.466,-0.844,-0.722,-0.873,0.787,0.369,0.492,0.865,0.231,-0.141,-0.183,-0.717,-0.441,-0.057,-0.159,-0.354,-0.117,-0.443,-0.451,-0.182,-0.275,-1.042,-0.72,2.918,3.02,3.248,0.98,1.24,1.148,0.741,0.323,0.16,0.485,0.822,2.317,1.396,-0.614,1.407,-0.504,0.738,-0.911,-0.935,-0.33,0.304,0.34,-0.258,-0.007,0.286,0.068,1.505,-0.621,0.16,-0.401,-0.289,0.551,0.191,-0.918,-1.293,-0.854,-1.944,-0.311,-0.929,-1.128,-1.397,-1.254,-1.085,-0.539,-0.612,-0.938,-0.313,1.078,0.351,-0.584,-0.412,0.644,0.986
"BR004",-3.64,-2.829,-1.51,-0.155,-0.091,-0.363,0.4,-0.708,-0.652,1.528,-0.14,-0.228,0.236,0.451,-0.05,0.054,-0.4,-0.717,-0.441,0.471,0.461,-0.418,-0.117,-0.443,-0.451,-0.729,0.609,0.642,0.057,0.489,-0.068,-0.057,0.535,1.083,1.396,0.442,0.025,0.931,1.013,0.979,2.711,1.501,-0.29,1.494,-0.821,0.636,-0.888,-0.769,-0.33,-0.559,0.213,0.327,-0.396,0.296,0.423,1.134,0.365,0.682,0.902,0.944,1.227,0.191,-0.699,0.045,1.106,-0.896,0.358,0.177,0.572,0.08,-0.067,-0.279,-0.773,-0.502,-0.577,0.214,1.078,-0.449,-0.584,-0.272,0.769,0.822
"LA001",-0.633,-0.158,0.235,-0.496,-0.62,-0.363,2.336,1.021,1.589,0.367,-0.658,-0.591,-0.432,-0.475,-0.768,-0.792,0.49,-0.717,-0.441,0.567,1.081,0.478,0.03,0.065,-0.451,1.679,0.488,0.642,-0.242,1.396,0.253,0.234,-0.403,0.53,1.117,-0.083,-0.153,0.248,0.65,1.018,1.143,1.87,2.048,1.658,0.218,-0.852,-0.437,-0.18,-0.51,0.859,-1.478,0.998,-0.065,-0.828,0.523,-1.068,0.499,-0.22,0.384,0.424,0.884,0.191,1.043,1.06,1.031,1.032,-0.034,-0.929,-0.164,0.337,0.481,0.343,0.395,4.894,5.1,1.092,-0.922,-0.116,-0.584,-1.169,1.111,1.807
"LA002",0.381,0.823,1.986,1.852,3.316,0.861,-0.466,1.319,1.996,1.223,0.717,1.228,-0.484,-0.66,-0.91,-0.792,1.092,0.8,-0.441,1.67,1.314,1.949,0.47,0.472,0.751,1.131,0.247,0.246,-0.003,1.597,-0.382,-0.341,-1.203,-1.197,-0.875,1.357,1.774,-0.045,0.213,0.137,-0.302,0.545,-1.517,0.555,-0.692,-1.075,0.933,1.063,-1.63,-3.688,-1.478,-0.884,-1.007,-0.738,-0.956,-1.068,1.026,-0.539,0.902,0.753,-1.105,-4.007,-1.711,-1.293,-0.111,-0.959,0.727,-0.929,-1.425,-1.724,-1.26,-1.085,-0.878,-1.546,-1.456,-0.737,1.078,-0.611,-0.584,0.122,1.267,1.807
"SA001",-0.907,-0.758,0.146,0.817,0.797,0.007,-0.466,-0.786,-0.719,-0.323,0.661,0.661,1.094,1.454,1.496,1.952,-0.604,-0.717,-0.441,-0.633,-0.237,-0.546,-0.558,-0.443,-0.451,0.995,0.89,0.048,0.117,-0.408,-0.382,-0.341,-0.088,0.272,-0.875,-0.248,-0.648,-0.836,-0.173,0.645,0.247,1.375,0.434,1.442,-0.93,-0.149,0.268,-0.004,-0.9,0.723,0.782,0.063,-0.245,0.711,0.526,-0.582,-0.798,-0.305,0.017,-0.626,-0.364,0.191,0.029,1.0,0.917,-0.885,0.025,-0.929,-0.076,-0.136,-0.127,0.111,-0.129,-0.182,-0.881,-0.242,-0.922,-0.451,-0.584,1.695,0.831,1.15
"SA002",NaN,NaN,NaN,NaN,NaN,NaN,-0.466,-0.952,-0.932,-0.843,1.505,1.014,0.605,0.655,0.426,-0.186,0.007,0.187,-0.441,-0.633,-0.624,-0.098,-0.558,-0.138,-0.451,-1.058,-0.034,-1.091,-0.78,-0.024,-0.382,-0.341,-0.24,-0.089,-0.875,-0.381,-0.937,-0.836,-0.227,-0.036,-0.632,1.67,1.228,1.703,-0.791,-1.663,-0.76,-0.951,-0.5,0.115,-0.168,0.902,0.344,0.46,0.312,0.851,-1.055,-0.376,-1.398,-0.743,-1.021,0.191,-0.364,-1.293,-0.497,-0.355,0.033,-0.929,1.463,0.507,0.565,1.932,3.604,2.4,1.796,0.926,1.078,0.233,1.908,-1.751,-1.223,-0.819
"SA003",-0.852,-0.692,-0.638,0.428,0.136,-0.363,-0.466,-0.63,-0.633,-1.022,0.409,0.375,1.283,1.283,1.133,-0.434,-1.33,-0.717,-0.441,-0.393,-0.082,-0.61,-0.558,-0.443,-0.451,-0.647,1.332,0.097,-0.6,-0.309,-0.382,-0.341,0.355,0.22,-0.875,0.983,0.324,-0.338,0.403,0.004,-0.632,0.88,1.958,0.802,-0.308,0.954,-0.343,-0.753,-0.53,-0.212,0.548,0.495,-0.552,1.631,0.573,-0.803,-1.307,-0.539,-1.66,-1.537,-1.105,0.191,-0.454,1.449,2.735,-0.861,0.644,-0.929,1.269,0.803,1.012,3.755,3.725,3.108,1.453,0.724,-0.922,0.214,-0.584,0.873,1.641,0.33
"SA004",-1.118,-1.159,-1.146,0.72,0.664,0.374,2.988,-0.439,-0.792,-0.196,1.824,1.955,1.994,2.454,2.098,1.486,-0.867,-0.717,-0.441,0.279,0.694,-0.482,-0.558,-0.341,-0.451,-0.538,1.011,-0.992,-0.66,0.008,-0.382,-0.341,-1.403,-1.202,-0.875,0.374,-0.361,-0.836,-0.096,-0.019,-0.6,1.781,1.213,1.724,-0.764,-1.401,-0.781,-0.804,-0.67,0.783,-0.508,0.384,-0.447,0.633,0.959,-0.565,-0.578,0.241,-0.578,0.143,0.237,0.191,-0.251,0.576,-0.368,-1.07,0.017,-0.929,-0.641,-0.694,-0.83,-0.147,-0.209,-0.376,-0.895,-0.314,-0.922,-0.309,-0.584,0.685,-0.258,1.315
